Date,Occupancy_Rate,Occupied_Rooms,ADR,Revenue,RevPAR,Is_Weekend,Local_Event,Competitor_Rate,Capacity,Bookings_Created,Cancellations,Booking_Pace
2015-07-01,0.2742616033755274,65.0,95.07692307692308,6180.0,26.075949367088608,0,0,97.93,237,115,4,0.48523206751054854
2015-07-02,0.27848101265822783,66.0,94.52530303030304,6238.67,26.32350210970464,0,0,97.36,237,528,455,2.2278481012658227
2015-07-03,0.05485232067510549,13.0,76.30307692307693,991.94,4.185400843881856,0,0,78.59,237,118,68,0.4978902953586498
2015-07-04,0.09282700421940929,22.0,71.17909090909092,1565.94,6.607341772151899,1,0,73.31,237,0,1,0.0
2015-07-05,0.05063291139240506,12.0,68.5225,822.27,3.469493670886076,1,0,70.58,237,1,0,0.004219409282700422
2015-07-06,0.046413502109704644,11.0,63.67272727272727,700.4,2.9552742616033756,0,0,65.58,237,733,761,3.0928270042194095
2015-07-07,0.05063291139240506,12.0,64.39333333333333,772.72,3.26042194092827,0,0,66.33,237,23,6,0.0970464135021097
2015-07-08,0.11392405063291139,27.0,60.174814814814816,1624.72,6.8553586497890295,0,0,61.98,237,623,40,2.628691983122363
2015-07-09,0.11392405063291139,27.0,59.538518518518515,1607.54,6.782869198312236,0,0,61.32,237,113,59,0.4767932489451477
2015-07-10,0.02531645569620253,6.0,75.32666666666667,451.96000000000004,1.9070042194092829,0,0,77.59,237,793,37,3.345991561181435
2015-07-11,0.15611814345991562,37.0,85.22162162162162,3153.2,13.30464135021097,1,0,87.78,237,31,3,0.1308016877637131
2015-07-12,0.13924050632911392,33.0,86.97818181818182,2870.28,12.110886075949368,1,0,89.59,237,0,2,0.0
2015-07-13,0.1350210970464135,32.0,87.1884375,2790.03,11.772278481012659,0,0,89.8,237,71,8,0.29957805907172996
2015-07-14,0.008438818565400843,2.0,84.31,168.62,0.7114767932489452,0,0,86.84,237,7,2,0.029535864978902954
2015-07-15,0.10548523206751055,25.0,58.09479999999999,1452.37,6.128143459915611,0,0,59.84,237,190,2,0.8016877637130801
2015-07-16,0.10548523206751055,25.0,58.09479999999999,1452.37,6.128143459915611,0,0,59.84,237,5,29,0.02109704641350211
2015-07-17,0.23628691983122363,56.0,98.80357142857143,5533.0,23.345991561181435,0,0,101.77,237,46,7,0.1940928270042194
2015-07-18,0.4177215189873418,99.0,86.38131313131314,8551.75,36.083333333333336,1,0,88.97,237,0,19,0.0
2015-07-19,0.18565400843881857,44.0,68.60795454545455,3018.75,12.737341772151899,1,0,70.67,237,0,0,0.0
2015-07-20,0.10548523206751055,25.0,65.52640000000001,1638.16,6.912067510548524,0,0,67.49,237,4,6,0.016877637130801686
2015-07-21,0.0759493670886076,18.0,54.25888888888889,976.66,4.120928270042194,0,0,55.89,237,30,8,0.12658227848101267
2015-07-22,0.10970464135021098,26.0,61.075384615384614,1587.96,6.700253164556962,0,0,62.91,237,125,92,0.5274261603375527
2015-07-23,0.270042194092827,64.0,74.5759375,4772.86,20.138649789029536,0,0,76.81,237,278,170,1.1729957805907174
2015-07-24,0.02531645569620253,6.0,0.0,0.0,0.0,0,0,0.0,237,41,3,0.1729957805907173
2015-07-25,0.28270042194092826,67.0,56.155970149253726,3762.45,15.875316455696202,1,0,57.84,237,80,45,0.33755274261603374
2015-07-26,0.16455696202531644,39.0,60.02435897435897,2340.95,9.877426160337553,1,0,61.83,237,1,0,0.004219409282700422
2015-07-27,0.270042194092827,64.0,61.85546875,3958.75,16.703586497890296,0,0,63.71,237,14,2,0.05907172995780591
2015-07-28,0.2320675105485232,55.0,55.74509090909091,3065.98,12.93662447257384,0,0,57.42,237,34,16,0.14345991561181434
2015-07-29,0.10548523206751055,25.0,54.32,1358.0,5.729957805907173,0,0,55.95,237,17,17,0.07172995780590717
2015-07-30,0.0759493670886076,18.0,55.861111111111114,1005.5,4.242616033755274,0,0,57.54,237,89,29,0.3755274261603376
2015-07-31,0.0759493670886076,18.0,66.68277777777777,1200.29,5.064514767932489,0,0,68.68,237,33,28,0.13924050632911392
2015-08-01,0.1308016877637131,31.0,75.68193548387096,2346.14,9.899324894514768,1,0,77.95,237,4,40,0.016877637130801686
2015-08-02,0.14345991561181434,34.0,69.65235294117646,2368.18,9.992320675105484,1,0,71.74,237,0,0,0.0
