Date,Gross_OTB,Stayover_OTB,Adjusted_OTB,Expected_Cancellations,OTB_ADR,Future_Arrival_OTB,Previous_Gross_OTB,Previous_Adjusted_OTB,Live_OTB,Net_Pickup_7d,OTB_Occupancy,Adjusted_OTB_Occupancy,Capacity,As_Of_Date,Historical_Gross_OTB,Historical_Adjusted_OTB,Historical_Previous_Gross_OTB,Pace_Confidence,Historical_Net_Pickup_7d,Gross_Pace_Index,Retained_Pace_Index,Pickup_Trend_Index,Pricing_Pace_Index,Historical_Avg_OTB,Booking_Velocity
2017-09-01,249,122,237.0,0.0,130.53,115,211,199.68,237,38,1.0,1.0,237,2017-08-31,237,235.49,231,high,6,1.05,1.01,1.5,1.16,237,1.05
2017-09-02,236,88,232.26,3.74,136.31,148,199,187.48,236,37,0.9957805907172996,0.98,237,2017-08-31,228,224.77,219,high,9,1.03,1.03,1.5,1.17,228,1.03
2017-09-03,241,37,235.46,1.54,131.4,200,192,178.68,237,49,1.0,0.9935,237,2017-08-31,228,223.77,225,high,3,1.05,1.05,1.5,1.18,228,1.05
2017-09-04,234,10,224.69,9.31,136.34,224,177,163.19,234,57,0.9873417721518988,0.9481,237,2017-08-31,213,206.89,210,high,3,1.09,1.08,1.5,1.21,213,1.09
2017-09-05,235,7,224.65,10.35,143.23,228,180,166.56,235,55,0.9915611814345991,0.9479,237,2017-08-31,212,202.4,215,high,-3,1.1,1.1,1.5,1.22,212,1.1
2017-09-06,246,4,234.33,2.67,144.85,233,190,175.84,237,56,1.0,0.9887,237,2017-08-31,220,208.79,224,high,-4,1.11,1.12,1.5,1.23,220,1.11
2017-09-07,202,0,192.48,9.52,141.02,202,155,143.86,202,47,0.8523206751054853,0.8122,237,2017-08-31,224,211.54,226,high,-2,0.91,0.91,1.5,1.09,224,0.91
2017-09-08,162,0,151.82,10.18,140.32,162,131,116.96,162,31,0.6835443037974683,0.6406,237,2017-08-31,223,208.33,223,high,0,0.74,0.74,1.5,0.97,223,0.74
2017-09-09,202,0,186.89,15.11,136.73,202,163,141.48,202,39,0.8523206751054853,0.7886,237,2017-08-31,231,214.4,237,high,-6,0.88,0.88,1.5,1.07,231,0.88
2017-09-10,186,0,171.81,14.19,141.5,186,151,131.08,186,35,0.7848101265822784,0.7249,237,2017-08-31,241,222.36,244,high,-3,0.78,0.78,1.5,1.0,241,0.78
2017-09-11,240,0,222.75,14.25,132.88,237,203,176.72,237,37,1.0,0.9399,237,2017-08-31,218,198.98,204,high,14,1.1,1.11,1.5,1.23,218,1.1
2017-09-12,262,0,237.0,0.0,129.84,237,230,200.07,237,32,1.0,1.0,237,2017-08-31,180,162.35,160,high,20,1.43,1.43,1.5,1.25,180,1.43
2017-09-13,238,0,220.52,16.48,135.76,237,210,183.17,237,28,1.0,0.9305,237,2017-08-31,205,187.72,205,high,0,1.15,1.17,1.5,1.25,205,1.15
